hex,flight,registration,aircraft,departure_time,departure_lat,departure_lon,departure_iata,departure_name,arrival_time,arrival_lat,arrival_lon,arrival_name,arrival_iata,airline,likely_departure_destination,likely_arrival_destination
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,PhoenixMesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,PhoenixMesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,Phoenix-Mesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,Phoenix-Mesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,PhoenixMesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,PhoenixMesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,Phoenix-Mesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
acb2ba,TYSON49 ,N917XA,B738,00:02.3,33.303783,-111.660454,AZA,Phoenix-Mesa Gateway Airport,00:02.7,32.41135,-99.683746,Abilene Regional Airport,ABI,Eastern Air Express,Florence Service Processing Center,Abilene Regional Airport
a6b0f5,GXA603  ,N530FL,A321,30:03.7,33.940689,-118.38179,LAX,Los Angeles International Airport,30:03.0,35.039776,-106.619926,Albuquerque International Sunport,ABQ,Global X Airlines,Los Angeles International Airport,Torrance County Detention Facility
a6b0f5,GXA603  ,N530FL,A321,30:03.7,33.940689,-118.38179,LAX,Los Angeles International Airport,30:03.0,35.039776,-106.619926,Albuquerque International Sunport,ABQ,Global X Airlines,Los Angeles International Airport,Torrance County Detention Facility
a6b0f5,GXA603  ,N530FL,A321,30:03.7,33.940689,-118.38179,LAX,Los Angeles International Airport,30:03.0,35.039776,-106.619926,Albuquerque International Sunport,ABQ,Global X Airlines,Los Angeles International Airport,Torrance County Detention Facility
a6b0f5,GXA603  ,N530FL,A321,30:03.7,33.940689,-118.38179,LAX,Los Angeles International Airport,30:03.0,35.039776,-106.619926,Albuquerque International Sunport,ABQ,Global X Airlines,Los Angeles International Airport,Torrance County Detention Facility
a2bd72,GXA101  ,N276GX,A320,00:02.8,25.795271,-80.284668,MIA,Miami International Airport,00:06.3,35.039242,-106.620087,Albuquerque International Sunport,ABQ,Global X Airlines,Krome North Service Processing Center,Torrance County Detention Facility
a2bd72,GXA101  ,N276GX,A320,00:02.8,25.795271,-80.284668,MIA,Miami International Airport,00:06.3,35.039242,-106.620087,Albuquerque International Sunport,ABQ,Global X Airlines,Krome North Service Processing Center,Torrance County Detention Facility
